高さ４cmのブロック、４個積んだら高さは？ 四四、１６cm
イチゴが３個ずつ乗ったケーキが３個、イチゴはいくつ？ 三三が９個
７つの箱にボールが５つずつ、ボールは何個？ 五七、３５個
１ｍで９kgの鉄の棒、３ｍだと何kg？ 九三、２７kg
１ｍで６kgの鉄の棒、６ｍだと何kg？ 六六、３６kg
５ｍ間隔で７本の旗、端から端まで何ｍ？ 五六、３０ｍ
四つ葉のクローバーが４つ、葉っぱは何枚？ 四四、１６枚
イチゴが２個ずつ乗ったケーキが５個、イチゴはいくつ？ 二五、１０個
５人で８時間かかる仕事、１人だと何時間？ 八五、４０時間
１セット５回の腕立て伏せ、７セットで何回？ 五七、３５回
６枚のお皿にみかんが３つずつ、お皿は何枚？ 一六が６枚
４個入りのチョコレート、５箱でいくつ？ 四五、２０個
おにぎり２個入りのお弁当が６つ、おにぎりいくつ？ 二六、１２個
１ｍで４kgの鉄の棒、４ｍだと何kg？ 四四、１６kg
１ｍで３kgの鉄の棒、４ｍだと何kg？ 三四、１２kg
８ｍ間隔で６本の旗、端から端まで何ｍ？ 八五、４０ｍ
高さ６cmのブロック、５個積んだら高さは？ 六五、３０cm
７人で６時間かかる仕事、１人だと何時間？ 六七、４２時間
高さ６cmのブロック、７個積んだら高さは？ 六七、４２cm
７つの箱にボールが３つずつ、ボールは何個？ 三七、２１個
２個入りのチョコレート、９箱でいくつ？ 二九、１８個
高さ９cmのブロック、８個積んだら高さは？ 九八、７２cm
５人に３枚ずつ百円玉を渡したら、全部でいくら？ 三五、１５００円
高さ９cmのブロック、５個積んだら高さは？ 九五、４５cm
１リットル入りの飲み物が３本で何リットル？ 一三が３リットル
４人に５枚ずつ百円玉を渡したら、全部でいくら？ 五四、２０００円
１ｍで１kgの鉄の棒、３ｍだと何kg？ 一三が３kg
４つの箱にボールが３つずつ、ボールは何個？ 三四、１２個
３つの箱にボールが４つずつ、ボールは何個？ 四三、１２個
５人で５時間かかる仕事、１人だと何時間？ 五五、２５時間
１ｍで６kgの鉄の棒、９ｍだと何kg？ 六九、５４kg
４つの箱にボールが６つずつ、ボールは何個？ 六四、２４個
１セット３回の腕立て伏せ、７セットで何回？ 三七、２１回
５ｍ間隔で６本の旗、端から端まで何ｍ？ 五五、２５ｍ
６人で４時間かかる仕事、１人だと何時間？ 四六、２４時間
３個入りのチョコレート、７箱でいくつ？ 三七、２１個
５cmのテープ、２倍になったら何cm？ 五二、１０cm
６枚のお皿にみかんが２つずつ、お皿は何枚？ 一六が６枚
４人乗りの車、３台あったら何人まで乗れる？ 四三、１２人
１ｍで２kgの鉄の棒、４ｍだと何kg？ 二四が８kg
７cmのテープ、８倍になったら何cm？ 七八、５６cm
６人で８時間かかる仕事、１人だと何時間？ 八六、４８時間
五円玉が８枚で、何円？ 五八、４０円
１ｍで３kgの鉄の棒、９ｍだと何kg？ 三九、２７kg
３人で８時間かかる仕事、１人だと何時間？ 八三、２４時間
６個入りのチョコレート、８箱でいくつ？ 六八、４８個
３個セットのマグネット、６セットでいくつ？ 三六、１８個
５個入りのチョコレート、５箱でいくつ？ 五五、２５個
５枚のお皿にみかんが３つずつ、お皿は何枚？ 一五が５枚
おにぎり３個入りのお弁当が９つ、おにぎりいくつ？ 三九、２７個
１ｍで３kgの鉄の棒、８ｍだと何kg？ 三八、２４kg
２人で６時間かかる仕事、１人だと何時間？ 六二、１２時間
９つの箱にボールが５つずつ、ボールは何個？ 五九、４５個
高さ５cmのブロック、６個積んだら高さは？ 五六、３０cm
おにぎり３個入りのお弁当が６つ、おにぎりいくつ？ 三六、１８個
高さ７cmのブロック、３個積んだら高さは？ 七三、２１cm
２つの箱にボールが３つずつ、ボールは何個？ 三二が６個
６つの箱にボールが９つずつ、ボールは何個？ 九六、５４個
４つの箱にボールが５つずつ、ボールは何個？ 五四、２０個
８グループのネコ、それぞれ８匹で何匹いる？ 八八、６４匹
１ｍで６kgの鉄の棒、８ｍだと何kg？ 六八、４８kg
１ｍで３kgの鉄の棒、６ｍだと何kg？ 三六、１８kg
１ｍで１kgの鉄の棒、７ｍだと何kg？ 一七が７kg
高さ４cmのブロック、８個積んだら高さは？ 四八、３２cm
３個入りのチョコレート、２箱でいくつ？ 三二が６個
６人に３枚ずつ百円玉を渡したら、全部でいくら？ 三六、１８００円
９人で８時間かかる仕事、１人だと何時間？ 八九、７２時間
４人で５時間かかる仕事、１人だと何時間？ 五四、２０時間
１ｍで６kgの鉄の棒、７ｍだと何kg？ 六七、４２kg
８人で１時間かかる仕事、１人だと何時間？ 一八が８時間
イチゴが２個ずつ乗ったケーキが６個、イチゴはいくつ？ 二六、１２個
２人ずつ座っているベンチ、８つで何人？ 二八、１６人
３人ずつ座っているベンチ、２つで何人？ 三二が６人
１ｍで３kgの鉄の棒、３ｍだと何kg？ 三三が９kg
４個入りのチョコレート、６箱でいくつ？ 四六、２４個
１ｍで５kgの鉄の棒、３ｍだと何kg？ 五三、１５kg
３人で５時間かかる仕事、１人だと何時間？ 五三、１５時間
８個入りのチョコレート、６箱でいくつ？ 八六、４８個
６人で２時間かかる仕事、１人だと何時間？ 二六、１２時間
１リットル入りの飲み物が５本で何リットル？ 一五が５リットル
９人で１時間かかる仕事、１人だと何時間？ 一九が９時間
７人で５時間かかる仕事、１人だと何時間？ 五七、３５時間
２人で９時間かかる仕事、１人だと何時間？ 九二、１８時間
１セット５回の腕立て伏せ、３セットで何回？ 五三、１５回
